#boundary segments
179.407 443.995
178.73 443.923
178.025 443.844
177.29 443.757
176.523 443.661
175.723 443.556
174.887 443.441
174.014 443.313
173.102 443.173
172.148 443.019
171.151 442.85
170.107 442.664
169.015 442.459
167.872 442.234
166.676 441.986
165.424 441.713
164.113 441.413
162.739 441.083
161.301 440.72
159.794 440.321
158.215 439.881
156.561 439.398
154.827 438.867
153.011 438.282
151.107 437.639
149.112 436.932
147.02 436.154
145.581 435.597

191.442 444.616
191.442 444.616

0 502.914
0 502.914

452 502.914
452 1871.19

337.338 444.616
338.859 444.606
339.542 444.595
340.105 444.583
340.615 444.57
341.096 444.555
341.563 444.539
342.023 444.522
342.482 444.502
342.943 444.481
343.41 444.458
343.886 444.432
344.372 444.404
344.87 444.373
345.383 444.338
345.912 444.301
346.458 444.259
347.023 444.214
347.609 444.163
348.217 444.108
348.849 444.048
349.506 443.981
350.191 443.907
350.904 443.827
351.647 443.738
352.422 443.64
353.231 443.533
354.076 443.414
354.959 443.284
355.881 443.141
356.846 442.984
357.854 442.811
358.909 442.62
360.013 442.411
361.169 442.181
362.378 441.927
363.644 441.648
364.97 441.342
366.359 441.004
367.813 440.633
369.337 440.225
370.933 439.776
372.605 439.282
374.358 438.739
376.195 438.141
378.12 437.484
380.137 436.761
382.252 435.965
384.26 435.174

0 386.318
0 386.318

-1657.13 386.318
0 386.318

241.112 101.918
241.069 101.949
241.022 101.982
240.97 102.019
240.913 102.059
240.851 102.104
240.782 102.153
240.707 102.207
240.624 102.266
240.532 102.331
240.432 102.403
240.322 102.481
240.201 102.568
240.068 102.663
239.922 102.768
239.762 102.884
239.585 103.011
239.392 103.15
239.18 103.304
238.947 103.473
238.691 103.659
238.411 103.863
238.103 104.088
237.766 104.335
237.396 104.608
236.991 104.907
236.548 105.236
236.062 105.598
235.53 105.997
234.949 106.435
234.313 106.917
233.618 107.447
232.859 108.031
232.03 108.672
231.125 109.378
230.14 110.154
229.065 111.008
228.046 111.827

337.338 -1475.67
337.338 0
337.338 0

0 0
0 -1368.28

394.669 57.3309
452 0

452 -1368.28
452 0
452 0

337.338 0
337.338 -1475.67

256.006 304.986
337.338 386.318

394.669 386.318
337.338 386.318
337.338 386.318

337.338 223.654
249.185 135.5

394.669 223.654
337.338 223.654

337.338 135.5
394.669 135.5

-1522.4 0
-1522.44 0.034662
-1522.48 0.072789
-1522.53 0.114727
-1522.58 0.160858
-1522.64 0.211601
-1522.7 0.267416
-1522.77 0.32881
-1522.84 0.39634
-1522.93 0.47062
-1523.02 0.552324
-1523.12 0.642193
-1523.23 0.741043
-1523.35 0.849771
-1523.48 0.969362
-1523.63 1.1009
-1523.79 1.24558
-1523.97 1.40471
-1524.16 1.57974
-1524.38 1.77225
-1524.61 1.98397
-1524.87 2.21684
-1525.16 2.47295
-1525.47 2.75462
-1525.82 3.0644
-1526.19 3.40509
-1526.61 3.77975
-1527.07 4.19178
-1527.58 4.64487
-1528.13 5.14313
-1528.75 5.69101
-1529.42 6.29346
-1530.16 6.95588
-1530.97 7.68421
-1531.87 8.48496
-1532.85 9.36531
-1533.94 10.3331
-1535.13 11.397
-1536.44 12.5664
-1537.88 13.8517
-1539.47 15.2642
-1541.22 16.8166
-1543.14 18.5223
-1545.25 20.3965
-1547.57 22.4554
-1550.13 24.717
-1552.94 27.2009
-1556.03 29.9286
-1559.43 32.9236
-1563.17 36.2113
-1567.29 39.8198
